index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
60,0YZ697cNmxOZjAxSkgxPly,I'm Specialized in You,['Time Bandits'],29,2017-11-10,229.96,0.815,0.61,9,10.904,0,0.111,0.00368,0.0515,0.0639,0.953,116.23,4,1,0
296,4FWV2FO6fFRhSyAvbHoEcj,Gardel / Arr. Carli: Mi Buenos Aires querido,"['Carlos Gardel', 'Daniel Barenboim', 'Rodolfo Mederos', 'Héctor Console']",18,1996-02-07,236.6,0.542,0.176,7,14.148,1,0.731,0.101,0.052,0.0659,0.33,104.558,4,1,1
23,3KYvsHPPaGgfELsRpD6332,Volume III - (Star Wars and other hits) - Original Single Edit,['Stars On 45'],28,1981-01-01,273.443,0.574,0.773,2,5.663,0,0.0174,0.0257,0.0926,0.451,0.919,123.447,4,1,0
15,5hcisvFMidkMJlElTO9Qmw,Sensualidad,DJ Luian,70,2017-11-03,297.485,0.807,0.681,11,6.268,1,0.423,0.0,0.0983,0.0962,0.676,140.006,4,0,0
76,1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,Calle 13,71,2005-01-01,239.307,0.829,0.878,9,5.951,1,0.0959,0.0,0.101,0.776,0.883,87.991,4,0,0
124,0GFuSxD2j9GJScA3EVTO69,I Just Wanna Stop,['The Jimmy Castor Bunch'],23,1979-01-01,367.973,0.434,0.339,5,15.005,1,0.433,0.0115,0.0341,0.17,0.594,140.68,4,1,1
297,1PRiwwG9wDMsqgtapWlu70,You Can't Get What You Want (Till You Know What You Want),['Joe Jackson'],45,1984-01-01,293.0,0.578,0.77,7,6.766,0,0.00348,0.00557,0.0284,0.101,0.813,126.122,4,1,0
38,6xpUfbi4Op5bfqIv1xJZv6,Granada,['Baccara'],26,1994-02-18,258.333,0.455,0.787,11,9.395,0,0.0911,3.85e-06,0.0823,0.281,0.492,134.769,4,1,0
198,2HH3IOe7C8XHMlk8kcJigk,"Mirror, Mirror",['Randall King'],51,2018-04-27,195.506,0.433,0.43,4,7.77,1,0.386,0.00066,0.0279,0.0842,0.3,81.281,4,1,1
0,52tKOYrwES8h7CIv7KjJd8,PEPPER | DJ TAO Turreo Sessions #15,Pepper,67,2022-12-22,133.608,0.918,0.788,2,3.923,1,0.0701,0.0,0.204,0.193,0.75,94.011,4,0,0
403,0NduSSOVp9TzgifuRTXftJ,Greatest Love of All,['Royal Philharmonic Orchestra'],0,2009-01-01,300.506,0.229,0.23,8,17.848,1,0.576,0.924,0.0324,0.235,0.0629,107.402,4,1,1
247,48p5E25cFPanxuwCTmTpuL,The Promise,['When In Rome'],65,1988-01-01,220.96,0.629,0.876,0,10.141,1,0.0864,7.72e-05,0.0444,0.0431,0.358,118.01,4,1,0
9,3gZs2MpDVNJb0CnPwkU3m9,Going Back To My Roots (Original Radio Version),['Odyssey'],44,1985-01-01,259.586,0.693,0.918,11,6.429,0,0.225,0.00106,0.0632,0.0547,0.765,111.128,4,1,0
143,0XsKwfkjVyley6bBJL1ju5,Problema,Xcelencia,33,2021-07-09,145.173,0.744,0.721,6,3.759,0,0.104,0.000177,0.17,0.326,0.492,169.991,4,0,0
126,7gDjHN9eWr2dzzHD9yIPcl,Disco Shy - Extended Promo Mix,['Gianni Riso'],13,2018-07-27,311.73,0.853,0.657,0,6.846,0,0.242,0.000458,0.0565,0.149,0.953,112.326,4,1,0
291,3L6dQDUquuO9xORMBsxYao,Into The Night - Re-Recorded In Stereo,['Benny Mardones'],41,1989-01-01,262.746,0.453,0.682,0,8.759,0,0.206,0.0,0.0277,0.0927,0.546,83.392,4,1,1
58,6VYtHmgaiXsVBNCaFMtEe9,Blam,Lauty Gram,49,2022-05-26,158.397,0.526,0.793,10,3.303,0,0.373,0.0,0.122,0.1,0.548,90.205,4,0,0
40,26BoDP4s4KinUUopv81FG6,"Le vent, le cri (Premier thème)",['Ennio Morricone'],34,1981-01-01,320.573,0.527,0.285,2,16.826,1,0.197,0.000283,0.0395,0.101,0.243,180.382,3,1,1
131,05bfbizlM5AX6Mf1RRyMho,AM Remix,Bad Bunny,72,2021-06-24,261.335,0.743,0.655,6,5.015,0,0.114,0.0,0.159,0.0764,0.785,172.031,4,0,0
80,00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,Natti Natasha,0,2018-06-01,217.653,0.836,0.799,7,4.247,0,0.187,0.0,0.0873,0.092,0.772,94.033,4,0,0
24,3Wnyap3WC4Lj8Z0EkLiiSO,Muñecas RKT - Remix,Chiky Dee Jay,33,2023-01-19,153.6,0.755,0.87,6,2.493,1,0.036,0.000148,0.0451,0.347,0.833,100.039,4,0,0
133,7FReOITHLWwO9oV8HYOMwA,Otro Muerto,['Mecano'],34,1998-03-24,201.093,0.597,0.203,7,11.344,0,0.964,1.38e-06,0.0299,0.141,0.384,67.194,3,1,1
